46.435,65.717,65.717,0.127
25.547,48.491,48.491,0.039
25.442,29.97,32.381,0.014
14.362,20.828,24.589,0.007
10.112,14.305,19.601,0.002
7.554,9.961,15.853,0.003
5.941,7.138,13.151,0.003
4.155,5.06,10.952,0
3.576,3.702,9.448,0
2.694,2.665,7.915,0
2.199,2.063,6.912,0
1.736,1.506,5.813,0
1.405,1.17,5.061,0
1.161,0.945,4.377,0
1.039,0.719,3.802,0
0.867,0.53,3.282,0
0.726,0.468,2.961,0
0.657,0.346,2.573,0
0.597,0.304,2.326,0
0.495,0.239,2.037,0
0.416,0.183,1.856,0
0.365,0.168,1.642,0
0.289,0.126,1.51,0
0.277,0.109,1.347,0
0.256,0.091,1.22,0
0.251,0.075,1.149,0
0.21,0.056,1.023,0
0.209,0.044,0.918,0
0.189,0.043,0.874,0
0.178,0.033,0.811,0
0.17,0.024,0.722,0
0.153,0.024,0.649,0
0.132,0.014,0.592,0
0.113,0.021,0.566,0
0.1,0.018,0.537,0
0.09,0.014,0.479,0
0.083,0.021,0.451,0
0.075,0.013,0.418,0
0.074,0.013,0.418,0
0.067,0.007,0.375,0
0.054,0.009,0.365,0
0.047,0.006,0.323,0
0.045,0.004,0.314,0
0.044,0.004,0.287,0
0.045,0.002,0.286,0
0.037,0.003,0.251,0
0.028,0,0.223,0
0.026,0.004,0.221,0
0.021,0.003,0.221,0
0.025,0.003,0.224,0
0.021,0.001,0.201,0
0.019,0.001,0.189,0
0.016,0.001,0.18,0
0.017,0.003,0.176,0
0.014,0.003,0.162,0
0.014,0.002,0.145,0
0.013,0.003,0.137,0
0.012,0.004,0.132,0
0.008,0.002,0.122,0
0.009,0.002,0.105,0
0.011,0.001,0.103,0
0.01,0.001,0.095,0
0.009,0.002,0.086,0
0.008,0.003,0.086,0
0.011,0.001,0.085,0
0.013,0.002,0.088,0
0.011,0.001,0.08,0
0.007,0.001,0.086,0
0.004,0,0.078,0
0.005,0,0.075,0
0.007,0,0.074,0
0.004,0.002,0.06,0
0.005,0,0.062,0
0.008,0,0.063,0
0.008,0.002,0.064,0
0.008,0.001,0.057,0
0.006,0.001,0.062,0
0.006,0.001,0.055,0
0.008,0,0.053,0
0.005,0,0.05,0
0.005,0.001,0.048,0
0.004,0,0.046,0
0.005,0,0.049,0
0.005,0,0.045,0
0.004,0,0.043,0
0.005,0,0.039,0
0.004,0,0.036,0
0.004,0,0.042,0
0.004,0.001,0.042,0
0.003,0,0.034,0
0.004,0,0.037,0
0.004,0,0.035,0
0.003,0,0.028,0
0.003,0,0.028,0
0.002,0,0.029,0
0.002,0,0.027,0
0.002,0,0.027,0
